x y z
-124.087576 -5.345537 104.520099
-124.087576 -2.833500 67.816597
-124.087576 -0.321463 77.500637
-124.087576 2.190573 79.260798
-124.087576 4.702610 77.771959
-124.087576 7.214647 78.871635
-124.087576 9.726684 77.847114
-124.087576 12.238721 81.595977
-124.087576 14.750758 85.692568
-124.087576 17.262795 87.357931
-124.087576 19.774832 89.195083
-124.087576 22.286869 82.382128
-124.087576 24.798906 76.199811
-124.087576 27.310943 70.701188
-124.087576 29.822980 67.525602
-124.087576 32.335016 67.060171
-124.087576 34.847053 65.708694
-124.087576 37.359090 64.185863
-124.087576 39.871127 63.857689
-124.087576 42.383164 68.285897
-124.087576 44.895201 66.878302
-124.087576 47.407238 61.552384
-124.087576 49.919275 64.265638
-124.087576 52.431312 68.672982
-124.087576 54.943349 67.912507
-124.087576 57.455386 66.446263
-124.087576 59.967422 65.072566
-124.087576 62.479459 63.589448
-124.087576 64.991496 62.128377
-124.087576 67.503533 60.695110
-124.087576 70.015570 59.056969
-124.087576 72.527607 59.189571
-124.087576 75.039644 52.410310
-124.087576 77.551681 55.294388
-124.087576 80.063718 53.427431
-124.087576 82.575755 50.109026
-124.087576 85.087792 50.506652
-124.087576 87.599829 49.151308
-124.087576 90.111865 46.542871
-124.087576 92.623902 46.802068
-124.087576 95.135939 46.496461
-124.087576 97.647976 44.996651
-124.087576 100.160013 43.672748
-124.087576 102.672050 38.192616
-124.087576 105.184087 34.484777
-124.087576 107.696124 39.110393
-124.087576 110.208161 34.529520
-124.087576 112.720198 30.299790
-124.087576 115.232235 27.617127
-124.087576 117.744271 31.630057
-124.087576 120.256308 32.177599
-124.087576 122.768345 30.421257
-124.087576 125.280382 28.974281
-124.087576 127.792419 27.528078
-124.087576 130.304456 26.030784
-124.087576 132.816493 24.671637
-124.087576 135.328530 23.166343
-124.087576 137.840567 21.765863
-124.087576 140.352604 22.325481
-124.087576 142.864641 20.865992
-124.087576 145.376677 20.812997
-124.087576 147.888714 19.387588
-124.087576 150.400751 18.607351
-124.087576 152.912788 18.085734
-124.087576 155.424825 16.744970
-124.087576 157.936862 15.283958
-124.087576 160.448899 13.826723
